id	GSM595407_Control	GSM595411_Control	GSM595414_Control	GSM595416_Control	GSM595417_Control	GSM595419_Control	GSM595421_Treat	GSM595422_Treat	GSM595423_Treat	GSM595424_Treat	GSM595425_Treat	GSM595426_Treat	GSM595427_Treat	GSM595428_Treat	GSM595429_Treat	GSM595432_Treat	GSM595434_Treat	GSM595435_Treat	GSM595437_Treat	GSM595439_Treat	GSM595441_Treat	GSM595443_Treat	GSM595445_Treat
ABCA6	7.55548556521739	7.41570343478261	7.13786108695652	7.1971072173913	6.96761273913043	8.5864912173913	6.19133626086956	6.90100382608696	8.51852360869565	8.25888439130435	6.44034815217391	7.57305204347826	6.8187867826087	7.10447873913043	5.56215160869565	6.922103	6.52594747826087	7.12030217391304	8.6814507826087	7.5681567826087	7.551831	6.74935160869565	6.67723686956522
ABCA7	7.12840639130435	7.20482265217391	7.09612573913043	7.0346987826087	7.05333226086957	7.0967927826087	7.98301465217391	7.58131213043478	7.14531565217391	7.12125939130435	6.82975260869565	7.07131173913043	7.28152669565217	6.24617473913043	6.75972256521739	7.46426017391304	7.20815256521739	7.47547826086956	7.02591552173913	7.07723891304348	6.71524760869565	7.50538469565217	7.3304517826087
ABCA8	5.90836582608696	6.2104582173913	5.97472017391304	5.98397543478261	5.91997952173913	6.40844334782609	5.69848817391304	5.79946560869565	6.819467	6.33454026086957	5.97408339130435	6.17113060869565	6.0831072173913	5.97653930434783	5.52805347826087	6.09115339130435	5.57681439130435	5.93968239130435	6.44447060869565	6.01281339130435	6.02710247826087	6.04589208695652	5.84252926086956
ABCA9	4.96365234782609	5.46387165217391	4.62534965217391	4.48704069565217	4.490358	6.40213808695652	4.2115077826087	4.49949265217391	5.7866662173913	5.40071486956522	4.28764730434783	4.68425308695652	4.63877530434783	4.75708182608696	4.14870430434783	4.56336304347826	4.336942	4.48946360869565	5.55104195652174	4.900088	4.74481565217391	4.44258808695652	4.34305408695652
ABCB1	5.20119430434783	6.17330739130435	4.76871926086956	4.82523369565217	5.423884	6.76859682608696	5.65671352173913	5.78051534782609	5.36277673913043	6.25278526086957	5.16816804347826	6.07067704347826	5.89061013043478	5.57649282608696	5.70899443478261	4.6429462173913	5.2038627826087	5.33044234782609	5.49125873913044	5.06865417391304	5.402993	5.46292569565217	5.12157026086957
ABCB10	7.88098639130435	8.20357360869565	8.28247908695652	8.15848360869565	7.32096443478261	7.91318758695652	7.90455147826087	7.83172852173913	8.45788417391304	8.13624047826087	8.2534382173913	8.56307769565217	8.56919604347826	8.24978930434783	8.20957908695652	7.77627817391304	7.69184447826087	7.84047369565217	7.6284187826087	7.71874547826087	7.72306089130435	7.62201017391304	8.00741569565217
ABCB11	4.14250682608696	4.02110713043478	4.07452269565217	4.07597186956522	3.97053595652174	4.18140160869565	4.09440365217391	3.82415839130435	4.08098130434783	3.88084004347826	3.84265734782609	4.0111137826087	3.86345704347826	4.04521813043478	4.0508987826087	3.99591995652174	4.05162808695652	3.93071404347826	4.15351434782609	3.85423356521739	3.94483852173913	4.10852360869565	3.9150922173913
ABCB4	3.8239412173913	3.92498839130435	3.96228313043478	3.77107769565217	4.66324913043478	4.023103	3.99761360869565	4.36465791304348	3.81299656521739	4.53665860869565	3.92002395652174	4.03035313043478	4.54093704347826	4.06317404347826	4.11487543478261	3.84513652173913	4.1457802173913	4.16470973913043	4.09261473913043	4.03755873913043	4.15782852173913	3.893447	4.06022795652174
ABCB5	3.8523282173913	3.79080013043478	3.8104982173913	3.86484839130435	3.8523282173913	3.91738495652174	3.92498839130435	3.922712	3.80791552173913	3.78773060869565	3.83736082608696	3.76755704347826	3.93864243478261	3.96228313043478	3.97191517391304	3.8104982173913	4.00892334782609	4.00761147826087	3.86453882608696	4.01777004347826	3.92367839130435	3.89381104347826	3.99666539130435
ABCB6	6.16446965217391	6.47429926086957	6.46721282608696	6.40951860869565	6.03465217391304	6.04843791304348	6.47451617391304	6.26691534782609	5.9570907826087	6.12849939130435	6.18475291304348	6.10767986956522	5.96347082608696	6.18410347826087	6.4885577826087	6.11024439130435	6.26515030434783	6.45532543478261	6.21747726086956	6.1293922173913	6.16792573913043	6.0086737826087	5.94983339130435
ABCB7	7.77813360869565	7.87045239130435	7.759197	7.63611526086957	7.6739167826087	7.97747154347826	7.66308	7.83142613043478	7.87314539130435	7.82313604347826	7.71913669565217	7.97261695652174	8.09836056521739	7.69931647826087	8.07301926086956	7.75181717391304	7.76481552173913	7.82726269565217	7.56588413043478	7.60890982608696	7.74574973913044	7.69087856521739	7.69616982608696
ABCB8	5.83813739130435	5.92860586956522	5.75764282608696	5.85497326086957	5.63198913043478	5.73066334782609	5.98587734782609	6.01979273913043	5.68969982608696	5.64518308695652	5.77523086956522	5.69516856521739	5.97010417391304	5.49324595652174	5.8046672173913	6.46111195652174	6.18625713043478	6.00325934782609	5.91847830434783	6.28533160869565	6.1409092173913	6.13432426086957	6.25122317391304
ABCB9	5.54359708695652	5.57400352173913	5.47917730434783	5.58186856521739	5.91463813043478	5.54475630434783	5.4703297826087	5.41275543478261	5.44414704347826	5.39506404347826	5.34049708695652	5.231721	5.40604052173913	5.37442343478261	5.56482886956522	5.33230047826087	5.66518365217391	5.60241186956522	5.86080091304348	5.45307673913043	5.57179526086956	5.50943813043478	5.29062517391304
ABCC1	8.48554482608696	8.29062395652174	8.32100847826087	8.42329908695652	8.51340060869565	8.20957908695652	8.39185543478261	8.493392	8.18753782608696	8.17528308695652	8.44427682608696	8.36649556521739	8.36614769565217	7.99338230434783	8.38264917391304	8.32572404347826	8.46323304347826	8.39000869565217	8.20741591304348	8.49509339130435	8.23777130434783	8.2480272173913	8.33745791304348
