id	GSM1854187_Control	GSM1854188_Control	GSM1854189_Control	GSM1854182_Treat	GSM1854183_Treat	GSM1854184_Treat	GSM1854185_Treat	GSM1854186_Treat
 MAT1A 	4.875264625	4.896045875	4.834118875	4.876542125	4.856544375	4.850864375	4.84882325	4.873311
 MAT2A 	7.993360375	7.7295415	7.61210325	8.136796625	8.35357625	7.77718675	7.4930185	7.168347875
 MAT2B 	6.483531625	6.26758925	6.34986	6.188811625	6.21493575	5.861814625	6.298331375	6.290701625
 MATK 	6.01564725	6.159873875	6.1905165	6.054935875	6.105655625	6.311405125	6.187785125	6.23303825
 MATN1-AS1 	4.576370625	4.560348125	4.6059395	4.617752	4.577993875	4.779787875	4.5749955	4.62802275
 MATN1 	5.4713625	5.493626625	5.36556025	5.455851125	5.4009785	5.49404825	5.441593875	5.41831975
 MATN2 	6.233913875	6.640752625	6.0393245	6.6263065	6.929213125	6.518605375	6.25777325	6.24941675
 MATN3 	5.328858875	4.02947925	4.94882125	3.904920875	3.66775025	3.73679225	3.973068875	3.68096175
 MATN4 	5.42335675	5.630891375	5.44665825	5.500332	5.38819175	5.53796375	5.37215425	5.6133205
 MATR3 	7.53424775	7.4568205	7.510775125	7.46204725	7.459004125	7.300551625	7.50840325	7.539370625
 MAU2 	6.672463125	6.821466125	6.709616	6.692851875	6.671132	6.625592875	6.61138175	6.609418
 MAVS 	6.95339475	7.060968	6.867548	6.910584625	6.812093	6.891884375	6.871465625	6.674651375
 MAX 	6.39801675	6.378291	6.474274375	6.3526395	6.46963025	5.9685825	6.39073675	6.335597375
 MAZ 	6.0537465	6.195753375	6.1241375	6.21013075	6.114781125	6.19361075	6.15251925	6.1667805
 MB 	4.341034625	4.425751875	4.264132375	4.38977675	4.37939675	4.391545625	4.305233875	4.376797375
 MB21D1 	4.797167875	4.48391175	4.66342875	4.59643925	4.97285375	4.3245715	4.7197629375	4.989808125
 MB21D2 	6.596558375	6.369581625	6.412318875	6.34398475	6.476347875	6.2271245	6.33697475	6.3531795
 MBD1 	6.4364085	6.42326175	6.404827375	6.4436035	6.4411215	6.38899075	6.429415	6.55472725
 MBD2 	9.713785	9.880885	9.88816225	9.667905125	9.6081675	9.439198375	9.547531	9.610849875
 MBD3 	7.21036175	7.400245	7.087213625	7.30949775	7.292051125	7.705998	7.3474728125	7.388365375
 MBD3L1 	3.5044225	3.458334875	3.573859625	3.49728725	3.611539125	3.54381225	3.447946375	3.45912025
 MBD3L2 	4.933269875	4.88862075	4.923201	4.7164385	4.895120375	5.10969075	4.92997275	4.939081375
 MBD3L3 	4.50914875	4.5519065	4.581060625	4.3875635	4.575424625	5.09470225	4.462493125	4.49095825
 MBD3L4 	4.53258425	4.516171375	4.516727625	4.31719275	4.4931056875	5.383119	4.33189	4.429674375
 MBD3L5 	4.171086	4.068765125	4.15271275	4.18825125	4.099835625	4.583105	3.94717475	3.895705625
 MBD4 	6.68955675	6.418949375	6.712821125	6.817800625	6.7167945	6.6016275	6.6438805	6.89066525
 MBD5 	6.123306625	5.842908	6.14876875	5.74363	5.957154625	5.264981625	5.94924475	5.882348375
 MBD6 	6.2888205	6.221096375	6.237277875	6.182749125	6.0897495	6.184669125	6.14785575	6.206717625
 MBIP 	7.9135715	7.711946375	8.378828375	7.306516375	6.545274875	7.137576875	7.513571125	7.046436125
