id	GSM2978789_Control	GSM2978790_Control	GSM2978791_Control	GSM2978792_Control	GSM2978793_Control	GSM2978794_Control	GSM2978795_Control	GSM2978796_Control	GSM2978797_Control	GSM2978798_Control	GSM2978799_Control	GSM2978752_Treat	GSM2978753_Treat	GSM2978754_Treat	GSM2978755_Treat	GSM2978756_Treat	GSM2978757_Treat	GSM2978758_Treat	GSM2978759_Treat	GSM2978760_Treat	GSM2978761_Treat	GSM2978762_Treat	GSM2978763_Treat	GSM2978764_Treat	GSM2978765_Treat	GSM2978766_Treat	GSM2978767_Treat	GSM2978768_Treat	GSM2978769_Treat	GSM2978770_Treat	GSM2978771_Treat	GSM2978772_Treat	GSM2978773_Treat
 ABCA3 	10.8419472916667	10.302414375	10.2664027083333	10.51086875	10.3354201041667	10.946167125	10.5985257291667	10.9955583333333	10.4292165208333	10.7875225	9.92873708333333	6.75377958333333	7.73978354166667	8.849754375	9.3407675	7.7555671875	8.64464010416667	9.91359166666667	9.3862884375	8.81187864583333	8.96185916666667	8.204261875	9.48474802083333	7.40245135416667	7.605871875	8.99123583333333	8.05534666666667	8.58061160416667	8.40157364583333	8.269020375	8.413946875	10.5146159583333	8.36169322916667
 ABCA4 	5.1965096875	5.12322235416667	5.45990954166667	5.16366764583333	5.45387822916667	5.41232416666667	5.34355208333333	5.24154270833333	5.37104285416667	5.3751131875	5.201190625	5.253424625	4.9916380625	5.28711583333333	5.19402979166667	5.25615145833333	5.47209635416667	5.52109666666667	5.5848868125	5.25850222916667	5.29595295833333	5.14215502083333	5.43103739583333	5.06434958333333	5.15021083333333	5.40846502083333	5.19885252083333	5.3014928125	5.19402979166667	5.26279827083333	5.50178125	5.636295	4.98325427083333
 ABCA5 	7.5850021875	7.35526125	6.5876468125	6.39439458333333	7.47597504166667	6.792574375	6.482128125	7.138405625	7.07055702083333	6.88445583333333	6.727111375	8.88626008333333	9.4512400625	9.0671540625	8.41913895833333	8.9615738125	8.36314072916667	8.05326641666667	8.68860972916667	8.656376875	9.1331749375	9.18117916666667	8.40550110416667	8.72816239583333	8.60428291666667	8.64437979166667	9.3336375	8.90301889583333	8.94948625	9.25298645833333	8.79383410416667	8.19208020833333	9.06383072916667
 ABCA6 	9.052506875	8.79524864583333	8.33868460416667	8.15231770833333	9.27702875	8.69298166666667	7.75034135416667	9.15487229166667	8.9127778125	8.50741404166667	7.779740625	9.08933010416667	8.68531052083333	9.030743125	9.82290389583333	9.26575472916667	9.79256458333333	9.57768204166667	9.78305508333333	9.74912052083333	9.96801052083333	9.81806045833333	8.874168375	9.05584961458333	9.10394775	9.99419604166667	9.276165375	10.7808170625	9.25096145833333	9.44539822916667	10.0282525	9.3003921875	10.51086875
 ABCA7 	7.04666972916667	7.309224	7.32106479166667	7.31281229166667	7.1955746875	7.224889	7.41635010416667	7.07759479166667	7.53411854166667	7.05810933333333	7.352770375	7.16342145833333	6.89310985416667	7.138405625	7.02283354166667	7.21267010416667	7.12259208333333	7.08512666666667	6.85878077083333	6.98166729166667	7.00945822916667	6.6327884375	6.68902779166667	7.1777884375	7.045160625	7.1368834375	6.89188360416667	6.91768708333333	7.26755322916667	6.98821197916667	6.87104625	6.80972791666667	7.0932880625
 ABCA8 	8.48674572916667	8.43633760416667	7.85058385416667	7.54577052083333	8.56122875	8.113188125	7.23196988541667	8.4434708125	7.89689520833333	7.99608979166667	7.18561166666667	8.88318760416667	8.490455625	8.79769958333333	9.33061302083333	8.56613197916667	9.31545447916667	9.49028075	9.48197416666667	9.58083208333333	9.777239375	9.52559108333333	8.937769625	8.93842583333333	9.194233125	9.80520166666667	9.0725624375	10.636799125	8.522381875	9.46692254166667	9.62932610416667	8.8579343125	9.88793927083333
 ABCA9 	8.60510308333333	8.8473915625	7.61404961458333	7.86832322916667	8.54083416666667	8.223190625	7.617411625	8.5526930625	8.3829868125	7.86925927083333	7.3579478125	8.260034375	7.400284375	8.01750395833333	8.8192709375	7.8954640625	8.71586245833333	8.578896875	8.52090354166667	8.56613197916667	8.963696875	9.19958729166667	8.01794270833333	8.30204666666667	7.92273614583333	8.83287433333333	8.07170216666667	10.1761278541667	8.24769739583333	8.28459114583333	8.90985145833333	8.23880333333333	9.60575416666667
 ABCB1 	5.896881875	6.50640708333333	6.42763483333333	5.63192921875	6.24122129166667	6.1282828125	5.58126697916667	6.4741896875	6.31037422916667	6.23819135416667	4.72117177083333	7.54371635416667	7.91505883333333	7.89093614583333	7.815283125	7.5865053125	7.11629791666667	8.01972635416667	7.57256691666667	7.91465333333333	8.38148195833333	7.82584035416667	7.32321375	7.43289041666667	8.55430833333333	8.54440875	8.09618610416667	7.76615552083333	7.22997729166667	8.38503895833333	8.33796416666667	7.6647059375	7.760061875
 ABCB10 	7.47985110416667	7.62393197916667	7.63688245833333	7.66436016666667	7.54180208333333	7.72583964583333	7.48215645833333	7.67266083333333	7.8144315	7.83911829166667	7.77807458333333	7.52171972916667	7.93486625	7.89159854166667	7.86103272916667	8.09177677083333	7.674390625	7.75142579166667	7.68283266666667	7.83873583333333	7.61111970833333	7.67725202083333	7.69063547916667	7.68094322916667	7.60870072916667	7.80513239583333	7.65505452083333	8.0712463125	7.99985010416667	7.94156177083333	7.81724875	7.80272322916667	7.63688245833333
 ABCB11 	4.2283884375	4.33493416666667	4.18252947916667	4.1103540625	3.96925866666667	4.33846117708333	4.0458290625	4.14893520833333	4.04943004166667	3.99673552083333	4.225014375	4.3366209375	4.37232358333333	4.30179375	4.36179239583333	4.23014010416667	4.202280625	4.38023770833333	4.09385597916667	4.29704538541667	4.55831729166667	4.2652193125	4.117040625	4.640955	4.35433760416667	4.46555885416667	4.287179375	5.00370375	4.61336166666667	4.15313525	4.29679472916667	4.42689375	4.31441577083333
